,1,2,3,4,5,6,7,8,9,10,11,12
2014,,,,,,,,,,,,
2015,23.79,23.59,19.08,21.04,22.88,22.99,21.07,12.41,20.69,20.77,21.22,16.28
2016,12.94,16.55,18.11,16.01,17,17.87,18.98,16.28,15.32,14.41,14.9,16.68
2017,15.37,17,18.17,,,,,,,,,
