Key,日期,科目,項目,金額,備註1,備註2,編輯
1825,2013-10-31,1.現收,AE,13000,11/6,12617,
1662,2013-10-10,1.現收,AE,2490,10/17,2428,
1602,2013-10-02,1.現收,AE,51400,10/8,49795,
1818,2013-10-30,1.現收,分3期,3300,11/5,3228,
1732,2013-10-19,1.現收,分3期,6300,10/25,6233,
1707,2013-10-16,1.現收,分3期,14250,10/17,13937,
1757,2013-10-22,1.現收,分6期,12000,10/28,11580,
1673,2013-10-11,1.現收,分6期,12000,10/17,11550,
1603,2013-10-02,1.現收,分6期,5990,10/8,5840,
1824,2013-10-31,1.現收,刷卡(V-M-J-銀),3880,11/6,3803,
1817,2013-10-30,1.現收,刷卡(V-M-J-銀),15000,11/5,14700,
1812,2013-10-29,1.現收,刷卡(V-M-J-銀),5900,11/4,5817,
1806,2013-10-28,1.現收,刷卡(V-M-J-銀),3300,11/1,3234,
1801,2013-10-27,1.現收,刷卡(V-M-J-銀),39390,11/1,38602,
1794,2013-10-26,1.現收,刷卡(V-M-J-銀),26100,10/31,25578,
1790,2013-10-25,1.現收,刷卡(V-M-J-銀),3300,10/31,3234,
1783,2013-10-24,1.現收,刷卡(V-M-J-銀),34350,10/30,33663,
1771,2013-10-23,1.現收,刷卡(V-M-J-銀),7200,10/29,7056,
1756,2013-10-22,1.現收,刷卡(V-M-J-銀),16350,10/28,16023,
1746,2013-10-21,1.現收,刷卡(V-M-J-銀),23330,10/25,37025,
1731,2013-10-19,1.現收,刷卡(V-M-J-銀),8150,10/25,7897,
1725,2013-10-18,1.現收,刷卡(V-M-J-銀),23450,10/25,22981,
1717,2013-10-17,1.現收,刷卡(V-M-J-銀),5300,10/23,5194,
1706,2013-10-16,1.現收,刷卡(V-M-J-銀),10660,10/22,10447,
1693,2013-10-14,1.現收,刷卡(V-M-J-銀),8500,10/18,8330,
1685,2013-10-13,1.現收,刷卡(V-M-J-銀),31660,10/18,31027,
1675,2013-10-12,1.現收,刷卡(V-M-J-銀),65350,10/17,64043,
1672,2013-10-11,1.現收,刷卡(V-M-J-銀),8570,10/17,8399,
1661,2013-10-10,1.現收,刷卡(V-M-J-銀),14050,10/17,13769,
1654,2013-10-09,1.現收,刷卡(V-M-J-銀),4200,10/16,4116,
1647,2013-10-08,1.現收,刷卡(V-M-J-銀),23730,10/15,23256,
1640,2013-10-07,1.現收,刷卡(V-M-J-銀),46900,10/14,45962,
1636,2013-10-06,1.現收,刷卡(V-M-J-銀),17710,10/14,17359,
1630,2013-10-05,1.現收,刷卡(V-M-J-銀),3350,10/11,3283,
1623,2013-10-04,1.現收,刷卡(V-M-J-銀),8600,10/11,8428,
1614,2013-10-03,1.現收,刷卡(V-M-J-銀),21790,10/9,21355,
1601,2013-10-02,1.現收,刷卡(V-M-J-銀),9250,10/8,9065,
1584,2013-10-01,1.現收,刷卡(V-M-J-銀),9340,10/7,9154,
1823,2013-10-31,1.現收,耳機現金,66810,,,
1816,2013-10-30,1.現收,耳機現金,67387,,,
1811,2013-10-29,1.現收,耳機現金,34166,,,
1805,2013-10-28,1.現收,耳機現金,77100,,,
1799,2013-10-27,1.現收,耳機現金,61544,,,
1793,2013-10-26,1.現收,耳機現金,97119,,,
1789,2013-10-25,1.現收,耳機現金,27635,,,
1782,2013-10-24,1.現收,耳機現金,16279,,,
1770,2013-10-23,1.現收,耳機現金,32300,,,
1755,2013-10-22,1.現收,耳機現金,49570,,,
1745,2013-10-21,1.現收,耳機現金,68134,,,
1738,2013-10-20,1.現收,耳機現金,83212,,,
1739,2013-10-20,1.現收,耳機現金,14450,,,
1730,2013-10-19,1.現收,耳機現金,126401,,,
1724,2013-10-18,1.現收,耳機現金,55740,,,
1716,2013-10-17,1.現收,耳機現金,34330,,,
1705,2013-10-16,1.現收,耳機現金,20209,,,
1698,2013-10-15,1.現收,耳機現金,32666,,,
1692,2013-10-14,1.現收,耳機現金,56569,,,
1684,2013-10-13,1.現收,耳機現金,41180,,,
1674,2013-10-12,1.現收,耳機現金,50836,,,
1667,2013-10-11,1.現收,耳機現金,45738,,,
1660,2013-10-10,1.現收,耳機現金,112105,,,
1653,2013-10-09,1.現收,耳機現金,61354,,,
1646,2013-10-08,1.現收,耳機現金,45952,,,
1639,2013-10-07,1.現收,耳機現金,40602,,,
1635,2013-10-06,1.現收,耳機現金,37700,,,
1629,2013-10-05,1.現收,耳機現金,88421,,,
1622,2013-10-04,1.現收,耳機現金,27237,,,
1613,2013-10-03,1.現收,耳機現金,26705,,,
1600,2013-10-02,1.現收,耳機現金,28285,,,
1583,2013-10-01,1.現收,耳機現金,93605,,,
1761,2013-10-23,3.銀收,其他收入,65,運費,永豐,
1764,2013-10-23,3.銀收,其他收入,500,捷孚凱行銷研究,永豐,
1767,2013-10-19,3.銀收,利息收入-陞永豐,30,10月,永豐,
1768,2013-10-22,3.銀收,銀行轉入貨款-CBHD,127376,錢櫃8月,富邦408,
1769,2013-10-22,3.銀收,銀行轉入貨款-CBHD,54757,好樂迪8月,富邦408,
1762,2013-10-23,3.銀收,銀行轉入貨款-YAHOO,4250,yahoo拍賣,永豐,
1763,2013-10-23,3.銀收,銀行轉入貨款-露天,21140,露天,永豐,
1765,2013-10-23,3.銀收,銀行轉入貨款-露天,10179,露天,永豐,
1766,2013-10-23,3.銀收,銀行轉入貨款-露天,17729,露天,永豐,
1804,2013-10-27,5.現支,清潔用品,488,乾燥劑,,
1751,2013-10-21,5.現支,營業稅-耳機,7790,關稅,InEar,
1752,2013-10-21,5.現支,營業稅-耳機,4963,關稅,Ocharaku,
1678,2013-10-12,5.現支,營業稅-耳機,4146,CW關稅,宅急便,
1659,2013-10-09,5.現支,貨款-CBHD,10000,好樂迪DVD+R2000*5,偉帝,
1821,2013-10-26,5.現支,貨款-耳機,5750,遠寬,進貨單號:824,
1753,2013-10-22,5.現支,貨款-耳機,163400,久東,進貨單號:778,776,777,
1760,2013-10-22,5.現支,貨款-耳機,1300,維修費,露天,
1750,2013-10-21,5.現支,貨款-耳機,700,耳模退費,,
1736,2013-10-19,5.現支,貨款-耳機,6500,八佰哥寄賣耳機先付款,,
1704,2013-10-16,5.現支,貨款-耳機,10750,遠寬,進貨單號:768,
1702,2013-10-15,5.現支,貨款-耳機,2105,關稅CW,宅急便,
1657,2013-10-09,5.現支,貨款-耳機,1400,耳模費,退還客人,
1658,2013-10-09,5.現支,貨款-耳機,659,Rooth快遞維修,郵局,
1651,2013-10-08,5.現支,貨款-餐飲,237,新餐點開發食材,,
1634,2013-10-05,5.現支,貨款-餐飲,2211,牛奶茶包,COSTCO,
1749,2013-10-21,5.現支,運費-網路,50,便利箱,7-11,
1728,2013-10-18,5.現支,運費-網路,500,iCash儲值,7-11,
1652,2013-10-08,5.現支,運費-網路,70,Y拍,郵局,
1606,2013-10-02,5.現支,運費-網路,500,iCash儲值,7-11,
1828,2013-10-31,5.現支,郵資,40,賬單,郵局,
1774,2013-10-23,5.現支,郵資,110,維修品,郵局,
1729,2013-10-18,5.現支,郵資,80,myear調貨,郵局,
1720,2013-10-17,5.現支,郵資,40,維修品,郵局,
1721,2013-10-17,5.現支,郵資,460,宅急便,9月,
1701,2013-10-15,5.現支,郵資,500,iCash,7-11,
1703,2013-10-15,5.現支,郵資,110,維修品,郵局,
1696,2013-10-14,5.現支,郵資,50,維修費,郵局,
1643,2013-10-07,5.現支,郵資,102,,維修費,
1633,2013-10-05,5.現支,郵資,530,EMS久東,郵局,
1617,2013-10-03,5.現支,郵資,120,維修品,郵局,
1586,2013-10-01,5.現支,郵資,90,維修品,郵局,
1733,2013-10-19,5.現支,雜費,261,掛勾,光南,
1826,2013-10-31,5.現支,餐費,370,午餐,3人,
1827,2013-10-31,5.現支,餐費,200,晚餐,2人,
1819,2013-10-30,5.現支,餐費,300,中餐,5人,
1820,2013-10-30,5.現支,餐費,387,晚餐,3人,
1813,2013-10-29,5.現支,餐費,286,午餐,3人,
1814,2013-10-29,5.現支,餐費,280,晚餐,3人,
1807,2013-10-28,5.現支,餐費,460,午餐,5人,
1808,2013-10-28,5.現支,餐費,640,晚餐,4人,
1802,2013-10-27,5.現支,餐費,256,午餐,3人,
1803,2013-10-27,5.現支,餐費,600,晚餐,4人,
1797,2013-10-26,5.現支,餐費,475,RoothEMS,郵局,
1791,2013-10-25,5.現支,餐費,285,午餐,3人,
1792,2013-10-25,5.現支,餐費,350,晚餐,4人,
1784,2013-10-24,5.現支,餐費,349,午餐,4人,
1785,2013-10-24,5.現支,餐費,330,晚餐,3人,
1772,2013-10-23,5.現支,餐費,300,午餐,4人,
1773,2013-10-23,5.現支,餐費,690,晚餐,3人,
1758,2013-10-22,5.現支,餐費,200,午餐,4人,
1759,2013-10-22,5.現支,餐費,270,晚餐,3人,
1747,2013-10-21,5.現支,餐費,366,午餐,4人,
1748,2013-10-21,5.現支,餐費,265,晚餐,3人,
1740,2013-10-20,5.現支,餐費,462,午餐,4人,
1741,2013-10-20,5.現支,餐費,650,晚餐,5人,
1734,2013-10-19,5.現支,餐費,420,午餐,5人,
1735,2013-10-19,5.現支,餐費,1320,晚餐,5人,
1726,2013-10-18,5.現支,餐費,540,午餐,6人,
1727,2013-10-18,5.現支,餐費,320,晚餐,4人,
1718,2013-10-17,5.現支,餐費,330,午餐,4人,
1719,2013-10-17,5.現支,餐費,500,晚餐,5人,
1708,2013-10-16,5.現支,餐費,70,中餐,2人,
1709,2013-10-16,5.現支,餐費,299,晚餐,3人,
1710,2013-10-16,5.現支,餐費,190,郵寄維修品,郵局,
1699,2013-10-15,5.現支,餐費,356,午餐,4人,
1700,2013-10-15,5.現支,餐費,195,晚餐,3人,
1694,2013-10-14,5.現支,餐費,255,午餐,3人,
1695,2013-10-14,5.現支,餐費,464,晚餐,5人,
1686,2013-10-13,5.現支,餐費,500,午餐,5人,
1687,2013-10-13,5.現支,餐費,480,晚餐,5人,
1676,2013-10-12,5.現支,餐費,390,午餐,5人,
1677,2013-10-12,5.現支,餐費,400,晚餐,4人,
1663,2013-10-10,5.現支,餐費,400,午餐,4人,
1664,2013-10-10,5.現支,餐費,505,晚餐,5人,
1655,2013-10-09,5.現支,餐費,400,中餐,4人,
1656,2013-10-09,5.現支,餐費,195,晚餐,3人,
1649,2013-10-08,5.現支,餐費,285,午餐,3人,
1650,2013-10-08,5.現支,餐費,160,晚餐,3人,
1641,2013-10-07,5.現支,餐費,250,午餐,3人,
1642,2013-10-07,5.現支,餐費,350,晚餐,350,
1637,2013-10-06,5.現支,餐費,1500,午晚餐,5人,
1631,2013-10-05,5.現支,餐費,500,中餐,5人,
1632,2013-10-05,5.現支,餐費,280,晚餐,4人,
1624,2013-10-04,5.現支,餐費,240,午餐,3人,
1625,2013-10-04,5.現支,餐費,597,晚餐,6人,
1615,2013-10-03,5.現支,餐費,195,午餐,3人,
1616,2013-10-03,5.現支,餐費,190,晚餐,2人,
1604,2013-10-02,5.現支,餐費,300,中餐,3人,
1605,2013-10-02,5.現支,餐費,285,晚餐,3人,
1585,2013-10-01,5.現支,餐費,375,午餐,4人,
1587,2013-10-01,5.現支,餐費,340,晚餐,4人,
1712,2013-10-16,6.銀支,交通費,4849,加油費,中信卡,
1775,2013-10-24,6.銀支,健保-耳機,5353,加煒健保,102-9,
1776,2013-10-24,6.銀支,健保-耳機,9078,聲陞健保,102-9,
1889,2013-10-31,6.銀支,其他代付款,13911,刷卡手續費,10月,
1618,2013-10-03,6.銀支,其他代付款,100,定存質押設定費,富邦,
1777,2013-10-24,6.銀支,勞保-CBHD,6569,加煒勞保,102-9,
1787,2013-10-25,6.銀支,勞保-耳機,13132,聲陞勞保費,2013-9,
1778,2013-10-24,6.銀支,勞退提撥-CBHD,2970,加煒勞退,102-9,
1786,2013-10-25,6.銀支,勞退提撥-耳機,6426,聲陞勞保費,2013-9,
1589,2013-10-02,6.銀支,文具,29929,保固卡DM紙袋名片卡片貼紙,艾羅企業,
1711,2013-10-16,6.銀支,水費,267,水費,2013-10,
1798,2013-10-26,6.銀支,清潔用品,280,垃圾袋,全家,
1590,2013-10-02,6.銀支,薪資,35000,劉承恩2013-9,33000＋獎金2000,
1591,2013-10-02,6.銀支,薪資,24880,王承顗2013-9,22880＋獎金2000,
1592,2013-10-02,6.銀支,薪資,32000,吳韻瑤2013-9,30000＋獎金2000,
1593,2013-10-02,6.銀支,薪資,18500,張凱勝2013-9,16500＋獎金2000,
1594,2013-10-02,6.銀支,薪資,40000,賴加陞2013-9,,
1595,2013-10-02,6.銀支,薪資,40000,江雨蓉2013-9,,
1596,2013-10-02,6.銀支,薪資,15200,潘彥成2013-9,13200＋獎金2000,
1597,2013-10-02,6.銀支,薪資,35000,賴柏宏2013-9,33000＋獎金2000,
1598,2013-10-02,6.銀支,薪資,10120,賴加陞,特支費,
1822,2013-10-31,6.銀支,貨款-耳機,68904,聚勝,進貨單號:840,
1815,2013-10-30,6.銀支,貨款-耳機,10220,黑曜石,進貨單號:833,
1788,2013-10-25,6.銀支,貨款-耳機,78834,Sony,進貨單號:724,726,710,712,
1754,2013-10-22,6.銀支,貨款-耳機,3500,黑曜石,進貨單號:796,
1988,2013-10-22,6.銀支,貨款-耳機,79535,音茶樂,進貨單號:885(90000)USD2688.2%29.4675+320,
1713,2013-10-17,6.銀支,貨款-耳機,14150,聚勝,進貨單號:725,
1691,2013-10-15,6.銀支,貨款-耳機,34800,MyEar,進貨單號:728,764,
1665,2013-10-11,6.銀支,貨款-耳機,43921,MyEar,進貨單號:649,747,745,746,407,373,328,327,
1666,2013-10-11,6.銀支,貨款-耳機,32215,電光火石,進貨單號:650,
1645,2013-10-08,6.銀支,貨款-耳機,24378,金山原34800扣1.5%,進貨單號:697,
1621,2013-10-07,6.銀支,貨款-耳機,113106,Sony,進貨單號:700,701,685,472,493,636,631,623,625,594,
1644,2013-10-07,6.銀支,貨款-耳機,109063,USD3698*29.406+320,GermanyInEar,
1986,2013-10-07,6.銀支,貨款-耳機,109063,InEar,進貨單號:920(130000)USD3698%29.406+320,
1697,2013-10-04,6.銀支,貨款-耳機,55950,MyEar,進貨單號:702,723,703,
1599,2013-10-03,6.銀支,貨款-耳機,15700,偉商,進貨單號:684,627,
1743,2013-10-20,6.銀支,電信費,1495,23653115,10月,
1744,2013-10-20,6.銀支,電信費,729,23651207,10月,
1742,2013-10-20,6.銀支,電費,19710,聲陞電費,10月,
1795,2013-10-26,6.銀支,餐費,399,午餐,4人,
1796,2013-10-26,6.銀支,餐費,265,晚餐,3人,
1638,2013-10-07,7.卡支,差旅費,109384,美國義大利出差,AE,
1668,2013-10-12,7.卡支,雜費-耳機,376,google服務費,大眾卡,
1669,2013-10-12,7.卡支,雜費-耳機,2275,yahoo服務費,大眾卡,
1670,2013-10-12,7.卡支,雜費-耳機,378,露天服務費,大眾卡,
1524,2013-10-31,8.票支,貨款-耳機,44175,永聖,270,
1607,2013-10-31,8.票支,貨款-耳機,44400,福群,277,
1608,2013-10-31,8.票支,貨款-耳機,33225,永聖,278,
1609,2013-10-31,8.票支,貨款-耳機,254644,富銘,279,
1620,2013-10-31,8.票支,貨款-耳機,19250,泳銓,283,
1626,2013-10-31,8.票支,貨款-耳機,73817,嘉亨,284,
1628,2013-10-31,8.票支,貨款-耳機,33500,水木清華,286,
1679,2013-10-31,8.票支,貨款-耳機,202610,鼎恆,287,
